card_id,ticker,observed_quarter,target_quarter,instance_id,signature_key,native_source,driver_source,segment,relation,relation_family,category,canonical_factor,polarity,strength,confidence,persistence_hint,support_type,source_sentence_ids_json,attribution_method,attribution_anchor,affected_quarter,temporal_type,segment_share_at_observed,segment_rank_at_observed,is_forward_target_quarter,is_observed_realized,novelty_state,panel_type,archetype,source_text_sha256,source_text_char_count,public_release_status,derived_artifact_status,source_material_access_status,source_material_redistribution_status,verbatim_text_status
7c1fcf621915b3029cc2,AAPL,FY2018_Q4,FY2019_Q1,143ebe98654f1dcd640bce7a,bf93029dfb1f60f8b636ad4d,ledger_forward+shock_forward,claim,Apple::iPhone,CONSTRAINS_PRODUCTION_OF,supply,macro,supply_capacity,negative,medium,0.9,False,explicit,[134],explicit_segment,35304ab39f2c6983a4a8df47,FY2019_Q1,Forecast/Guidance,0.5911764705882353,1,True,False,unknown,full_mainpanel,consumer_device_ecosystem,fb99f7deff7257df337f50dd055a1f9bdea1e206c15b940c2a26ed44dd39d314,58,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
c3b6139d14b969db740b,AAPL,FY2018_Q4,FY2019_Q1,2083e03be658a8bd8f3b46e8,edfb5922f1e9f978afb4f656,ledger_forward+shock_forward,claim,Apple::Wearables Home and Accessories,CONSTRAINS_PRODUCTION_OF,supply,supply,supply_capacity,mixed,medium,0.9,True,explicit,[135],explicit_segment,0a32e764f1023e75336fc2e8,FY2019_Q1,Forecast/Guidance,,0,True,False,persistent,full_mainpanel,consumer_device_ecosystem,2bfacab47363e251e94269bf1b2de1e20d8e906e80a39b8c374061f18e4353a4,149,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
b44443c0e00455f28619,AAPL,FY2018_Q4,FY2019_Q1,f6eb76d57afc77e4c0911830,75a8a8f499dc1d5866cb4754,ledger_forward,event,UNKNOWN,LIMITS_REVENUE_OF,product_transition,product_transition,product_transition,negative,high,1.0,True,,[179],unresolved,da5fa8ea7c99d09b043049fb,FY2019_Q1,Forecast/Guidance,,0,True,False,persistent,full_mainpanel,consumer_device_ecosystem,007933c711e62aa666a8b9b0aa938c314ec4ffb3b2a96e33652576eb0b061ebd,112,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
b1884848fbf27de9c27d,AAPL,FY2018_Q4,FY2019_Q1,a446c9e305719e2d640297e0,68a57bbd7624b732ef427b6b,ledger_forward,event,UNKNOWN,LIMITS_REVENUE_OF,macro,macro,regulation_macro,negative,high,1.0,True,,[180],unresolved,da5fa8ea7c99d09b043049fb,FY2019_Q1,Forecast/Guidance,,0,True,False,persistent,full_mainpanel,consumer_device_ecosystem,4712bf0c2c4a953143ecc55176db1f5dae142b2e5483703daf66f2e290233dc9,66,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
bc6c3820fc68159c4c81,AAPL,FY2018_Q4,FY2019_Q1,faa77a0fa9fb8a7375e33c8c,e7392eb682505115e88fdb51,ledger_forward,event,UNKNOWN,LIMITS_REVENUE_OF,supply,supply,supply_capacity,negative,medium,1.0,True,,[181],unresolved,da5fa8ea7c99d09b043049fb,FY2019_Q1,Forecast/Guidance,,0,True,False,persistent,full_mainpanel,consumer_device_ecosystem,f51b56b9ea910814c5927a99ce7f7286fda6cb7abe065a4f8277d818192942d9,156,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
6bb1e18870d7d3e7ce38,AAPL,FY2018_Q4,FY2019_Q1,8d5befb33317cdf5452719d1,5e809b2b962d7a64f62461f1,ledger_forward,event,UNKNOWN,LIMITS_REVENUE_OF,macro,macro,regulation_macro,negative,medium,1.0,True,,[182],unresolved,854cb5d903e1276957ded889,FY2019_Q1,Forecast/Guidance,,0,True,False,persistent,full_mainpanel,consumer_device_ecosystem,526d5bf1e0c5c78410ab65aa7a3fb059aa99479f349ca7a92846a3a70c951e5b,90,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
4b16ad9d3c2d137cfad7,AAPL,FY2019_Q1,FY2019_Q2,d7b701f916ba650a5a72cf1e,757c65b5ba7072b748164e8e,ledger_forward+shock_forward,claim,Apple::iPhone,CONSTRAINS_PRODUCTION_OF,supply,macro,supply_capacity,negative,medium,0.95,False,explicit,[138],explicit_segment,79f2f2222953ade932895291,FY2019_Q2,Forecast/Guidance,0.6165579409322738,1,True,False,unknown,full_mainpanel,consumer_device_ecosystem,88e1ace9fd290b80f577d6d6bd6fa3a4cde7dd2953303c631b8c746b9b23f67a,134,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
e04e9e989feebbcda18e,AAPL,FY2019_Q1,FY2019_Q2,8d1b334fa66ce482c7f85613,46d8707a20df77bd1dbe9234,ledger_forward+shock_forward,event,Apple::iPhone,LIMITS_REVENUE_OF,macro,macro,regulation_macro,negative,medium,0.95,True,,[304],explicit_tail,0e57fd00c725f76b2aded5e4,FY2019_Q2,Forecast/Guidance,0.6165579409322738,1,True,False,persistent,full_mainpanel,consumer_device_ecosystem,2dfbd369f384487e02e86135b39c715397817743eb1273e7f88fab25d8147d99,181,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
871ed4f1b3337a231ef3,AAPL,FY2019_Q2,FY2019_Q3,20ec17783f5c6f7f2039d0bf,a9eb47f2b937ec088c19417e,ledger_forward,claim,Apple::iPhone,BOOSTS_REVENUE_OF,pricing,pricing,pricing_margin,positive,medium,0.95,False,explicit,[113],explicit_segment,856981f9aa79014bf4b623ff,FY2019_Q3,Realized/Reporting,0.5352236490562785,1,True,False,unknown,full_mainpanel,consumer_device_ecosystem,fbabfb1b227c3d4602f1cef01bc7e71d5925d662feee3103ff151216b9020ae5,93,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
ff451d03ae52d7aa091d,AAPL,FY2019_Q2,FY2019_Q3,290ee0e0ec439934d21217ca,40550ebb3fd993e5155bd3ff,ledger_forward,claim,Apple::iPhone,DRIVES_DEMAND_FOR,demand,demand,demand,positive,high,0.95,False,explicit,[113],explicit_segment,3e34c79699678f4f28dd95ee,FY2019_Q3,Realized/Reporting,0.5352236490562785,1,True,False,unknown,full_mainpanel,consumer_device_ecosystem,5508ebb3b7f0cf41b55461607695af79ef214f19512f6565054a1c9145c3197b,113,included_in_public_release,author_created_derived_post_extraction_card,not_included_mixed_public_or_provider_access,not_redistributed_no_rights_grant,withheld_hash_locator_only
